song,artist,date,loveSong
F**kin' Perfect,P!nk,31/12/2010,
When A Woman Loves,R. Kelly,31/12/2010,
Higher,Taio Cruz Featuring Travie McCoy,31/12/2010,
For The First Time,The Script,31/12/2010,
Are You Gonna Kiss Me Or Not,Thompson Square,31/12/2010,
Hit It Again,3OH!3,7/1/2011,
I Am The Champion,B.o.B,7/1/2011,
This Is Country Music,Brad Paisley,7/1/2011,
Pursuit Of Happiness (Nightmare),Kid Cudi Featuring MGMT & Ratatat,7/1/2011,
I Just Had Sex,The Lonely Island Featuring Akon,7/1/2011,0
Shake Up Christmas,Train,7/1/2011,
Do The John Wall,Troop 41,7/1/2011,
Big Night,Big Time Rush,14/1/2011,
A Little Bit Stronger,Sara Evans,14/1/2011,
Country Strong,Gwyneth Paltrow,21/1/2011,
From A Table Away,Sunny Sweeney,21/1/2011,
Make It Rain,Travis Porter,21/1/2011,
What The Hell,Avril Lavigne,28/1/2011,
Hold It Against Me,Britney Spears,28/1/2011,
Shake Me Down,Cage The Elephant,28/1/2011,
Give In To Me,Garrett Hedlund & Leighton Meester,28/1/2011,
H*A*M,Kanye West Jay Z,28/1/2011,
Buzzin',Mann,28/1/2011,
Wildflower,The JaneDear Girls,28/1/2011,
Stay The Night,James Blunt,4/2/2011,
"For You, And Your Denial      ",Yellowcard,4/2/2011,
Colder Weather,Zac Brown Band,4/2/2011,
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,11/2/2011,
Boyfriend,New Hollow,11/2/2011,
Help Is On The Way,Rise Against,11/2/2011,
Love Faces,Trey Songz,11/2/2011,
When You're Young,3 Doors Down,18/2/2011,
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,18/2/2011,
I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,18/2/2011,
Price Tag,Jessie J Featuring B.o.B,18/2/2011,0
The Cave,Mumford & Sons,18/2/2011,
The Ballad Of Mona Lisa,Panic! At The Disco,18/2/2011,
The Creep,The Lonely Island Featuring Nicki Minaj,18/2/2011,0
I Do,Colbie Caillat,25/2/2011,
I Won't Give Up,Jana Kramer,25/2/2011,
Hit The Lights,Jay Sean Featuring Lil Wayne,25/2/2011,
Pray,Justin Bieber,25/2/2011,
Born This Way,Lady Gaga,25/2/2011,0
Words I Never Said,Lupe Fiasco Featuring Skylar Grey,25/2/2011,
Heart Like Mine,Miranda Lambert,25/2/2011,
Sing,My Chemical Romance,25/2/2011,
Bleed Red,Ronnie Dunn,25/2/2011,
Roll Up,Wiz Khalifa,25/2/2011,
Tomorrow,Chris Young,4/3/2011,
Born To Be Somebody,Justin Bieber,4/3/2011,
Backseat,New Boyz Featuring The Cataracs & Dev,4/3/2011,
Just Can't Get Enough,The Black Eyed Peas,4/3/2011,
Written In The Stars,Tinie Tempah Featuring Eric Turner,4/3/2011,
Country Boy,Aaron Lewis Featuring George Jones & Charlie Daniels,11/3/2011,
Someone Like You,Adele,11/3/2011,1
Set Fire To The Rain,Adele,11/3/2011,1
Boyfriend,Big Time Rush,11/3/2011,
Welcome To My Hood,"DJ Khaled Featuring Rick Ross, Plies, Lil Wayne & T-Pain",11/3/2011,
On The Floor,Jennifer Lopez Featuring Pitbull,11/3/2011,
The Shape I'm In,Joe Nichols,11/3/2011,
I Smile,Kirk Franklin,11/3/2011,
Bow Chicka Wow Wow,Mike Posner Featuring Lil Wayne,11/3/2011,
On My Level,Wiz Khalifa Featuring Too $hort,11/3/2011,
My Last,Big Sean Featuring Chris Brown,18/3/2011,
Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,18/3/2011,
What Are Words,Chris Medina,18/3/2011,
Rope,Foo Fighters,18/3/2011,
Twisted,Gorilla Zoe Featuring Lil Jon,18/3/2011,
Walking,Mary Mary,18/3/2011,
Did It On'em,Nicki Minaj,18/3/2011,
You Lie,The Band Perry,18/3/2011,
21st Century Girl,WILLOW,18/3/2011,
Wish You Were Here,Avril Lavigne,25/3/2011,
I Can't Love You Back,Easton Corbin,25/3/2011,
Crazy Girl,Eli Young Band,25/3/2011,
Homeboy,Eric Church,25/3/2011,
Where You At,Jennifer Hudson,25/3/2011,
Without You,Keith Urban,25/3/2011,
Live A Little,Kenny Chesney,25/3/2011,
Beautiful Lasers (2 Ways),Lupe Fiasco Featuring MDMA,25/3/2011,
Sure Thing,Miguel,25/3/2011,
Country Song,Seether,25/3/2011,
Boom,Snoop Dogg Featuring T-Pain,25/3/2011,
The Race,Wiz Khalifa,25/3/2011,
Arms,Christina Perri,1/4/2011,
Far Away,Marsha Ambrosius,1/4/2011,
Dancing Crazy,Miranda Cosgrove,1/4/2011,
Friday,Rebecca Black,1/4/2011,0
Who Says,Selena Gomez & The Scene,1/4/2011,
Bring It Back,Travis Porter,1/4/2011,
Grove St. Party,Waka Flocka Flame Featuring Kebo Gotti,1/4/2011,
Next To You,Chris Brown Featuring Justin Bieber,8/4/2011,
Family Man,Craig Campbell,8/4/2011,
Georgia Clay,Josh Kelley,8/4/2011,
If Heaven Wasn't So Far Away,Justin Moore,8/4/2011,
F**k Him He's A DJ,Ke$ha,8/4/2011,
John,Lil Wayne Featuring Rick Ross,8/4/2011,
Best Love Song,T-Pain Featuring Chris Brown,8/4/2011,
No Sleep,Wiz Khalifa,8/4/2011,
I Wanna Go,Britney Spears,15/4/2011,
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",15/4/2011,
The Story,Sara Ramirez,15/4/2011,
Beggin' On Your Knees,Victorious Cast Featuring Victoria Justice,15/4/2011,
When I'm Gone,Wiz Khalifa,15/4/2011,
Racks,YC Featuring Future,15/4/2011,
Hustle Hard,Ace Hood,22/4/2011,
Honey Bee,Blake Shelton,22/4/2011,
Old Alabama,Brad Paisley Featuring Alabama,22/4/2011,
Dirt Road Anthem,Jason Aldean,22/4/2011,
Hello,Martin Solveig & Dragonette,22/4/2011,
Good Life,OneRepublic,22/4/2011,
Somewhere Else,Toby Keith,22/4/2011,
Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko",29/4/2011,
She Ain't You,Chris Brown,29/4/2011,
Red Nation,Game Featuring Lil Wayne,29/4/2011,
Tonight Tonight,Hot Chelle Rae,29/4/2011,
Barefoot Blue Jean Night,Jake Owen,29/4/2011,
Motivation,Kelly Rowland Featuring Lil Wayne,29/4/2011,
Judas,Lady Gaga,29/4/2011,
Turning Tables,Adele,6/5/2011,
Run The World (Girls),Beyonce,6/5/2011,0
Somebody,Bridgit Mendler,6/5/2011,
Breakthrough,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko",6/5/2011,
Papi,Jennifer Lopez,6/5/2011,
Country Girl (Shake It For Me),Luke Bryan,6/5/2011,
Barbra Streisand,Duck Sauce,13/5/2011,
Pumped Up Kicks,Foster The People,13/5/2011,0
Whiskey,Jana Kramer,13/5/2011,
Time After Time,Javier Colon,13/5/2011,
Never Gonna Leave This Bed,Maroon 5,13/5/2011,1
Super Bass,Nicki Minaj,13/5/2011,
Not Ready To Die,Avenged Sevenfold,20/5/2011,
Fast Lane,Bad Meets Evil,20/5/2011,
Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,20/5/2011,
Am I The Only One,Dierks Bentley,20/5/2011,
Danza Kuduro,Don Omar & Lucenzo,20/5/2011,
I'm Into You,Jennifer Lopez Featuring Lil Wayne,20/5/2011,
Just A Kiss,Lady Antebellum,20/5/2011,
Better With The Lights Off,New Boyz Feat. Chris Brown,20/5/2011,
Closer To The Edge,Thirty Seconds To Mars,20/5/2011,
Dirty Dancer,Enrique Iglesias With Usher Featuring Lil Wayne,27/5/2011,
I Am Woman,Jordin Sparks,27/5/2011,
The Edge Of Glory,Lady Gaga,27/5/2011,1
9 Piece,Rick Ross Featuring Lil Wayne Or T.I.,27/5/2011,
(It) Feels So Good,Steven Tyler,27/5/2011,
Jack Sparrow,The Lonely Island Featuring Michael Bolton,27/5/2011,0
Knee Deep,Zac Brown Band Featuring Jimmy Buffett,27/5/2011,
Look It Up,Ashton Shepherd,3/6/2011,
I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",3/6/2011,
Don't Wanna Go Home,Jason Derulo,3/6/2011,
Hair,Lady Gaga,3/6/2011,
Right There,Nicole Scherzinger Featuring 50 Cent,3/6/2011,
California King Bed,Rihanna,3/6/2011,
Ballin',Young Jeezy Featuring Lil Wayne,3/6/2011,
1+1,Beyonce,10/6/2011,
You And Tequila,Kenny Chesney Featuring Grace Potter,10/6/2011,
You And I,Lady Gaga,10/6/2011,
Marry The Night,Lady Gaga,10/6/2011,
Like My Mother Does,Lauren Alaina,10/6/2011,
How To Love,Lil Wayne,10/6/2011,
Out Of My Head,Lupe Fiasco Featuring Trey Songz,10/6/2011,
Donald Trump,Mac Miller,10/6/2011,
Rise Above 1,Reeve Carney Featuring Bono & The Edge,10/6/2011,
Man Down,Rihanna,10/6/2011,
I Love You This Big,Scotty McCreery,10/6/2011,
Keep Your Head Up,Andy Grammer,17/6/2011,
Best Thing I Never Had,Beyonce,17/6/2011,
Every Teardrop Is A Waterfall,Coldplay,17/6/2011,1
Iridescent,Linkin Park,17/6/2011,
International Love,Pitbull Featuring Chris Brown,17/6/2011,
Cat Daddy,Rej3ctz,17/6/2011,
Take A Back Road,Rodney Atkins,17/6/2011,
Just Fishin',Trace Adkins,17/6/2011,
Unusual,Trey Songz Featuring Drake,17/6/2011,
Best Friend's Brother,Victorious Cast Featuring Victoria Justice,17/6/2011,
Remind Me,Brad Paisley Duet With Carrie Underwood,24/6/2011,
Heartless,Dia Frampton,24/6/2011,
Not Over You,Gavin DeGraw,24/6/2011,
Teenage Daughters,Martina McBride,24/6/2011,
Monster,Paramore,24/6/2011,
Pause,Pitbull,24/6/2011,
You,Romeo Santos,24/6/2011,
Bang Bang Bang,Selena Gomez & The Scene,24/6/2011,
Made In America,Toby Keith,24/6/2011,
Take Over Control,Afrojack Featuring Eva Simons,1/7/2011,
Lighters,Bad Meets Evil Featuring Bruno Mars,1/7/2011,
Love Done Gone,Billy Currington,1/7/2011,
Black Horse And The Cherry Tree,Casey Weston,1/7/2011,
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,1/7/2011,
Angel,Javier Colon,1/7/2011,
See No More,Joe Jonas,1/7/2011,
Rain Over Me,Pitbull Featuring Marc Anthony,1/7/2011,
Today Is Your Day,Shania Twain,1/7/2011,
Price Tag,Xenia,1/7/2011,
Watch Me,Bella Thorne & Zendaya,8/7/2011,
Country Must Be Country Wide,Brantley Gilbert,8/7/2011,
Losing My Religion,Dia Frampton,8/7/2011,
Fix You,Javier Colon,8/7/2011,
So In Love,Jill Scott Featuring Anthony Hamilton,8/7/2011,
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,8/7/2011,0
Shake Senora,Pitbull Featuring T-Pain & Sean Paul,8/7/2011,
Love You Like A Love Song,Selena Gomez & The Scene,8/7/2011,
"Save Me, San Francisco",Train,8/7/2011,
The Man Who Can't Be Moved,Xenia,8/7/2011,
Man In The Mirror,Adam Levine & Javier Colon,15/7/2011,0
High,Big Sean Featuring Wiz Khalifa,15/7/2011,
I Won't Back Down,Blake Shelton & Dia Frampton,15/7/2011,
Beautiful,Christina Aguilera & Beverly McClellan,15/7/2011,
Moving To Mars,Coldplay,15/7/2011,
Major Minus,Coldplay,15/7/2011,0
Little Bad Girl,David Guetta Featuring Taio Cruz & Ludacris,15/7/2011,
Inventing Shadows,Dia Frampton,15/7/2011,
Here For A Good Time,George Strait,15/7/2011,
Pretty Girls,Iyaz Featuring Travie McCoy,15/7/2011,
Stitch By Stitch,Javier Colon,15/7/2011,
Smile,Avril Lavigne,22/7/2011,
Taboo,Don Omar,22/7/2011,
Walk,Foo Fighters,22/7/2011,
Novacane,Frank Ocean,22/7/2011,
Work Out,J. Cole,22/7/2011,
I Wouldn't Be A Man,Josh Turner,22/7/2011,
Mr. Saxobeat,Alexandra Stan,29/7/2011,
God Gave Me You,Blake Shelton,29/7/2011,
Up All Night,Blink-182,29/7/2011,
You Make Me Feel...,Cobra Starship Featuring Sabi,29/7/2011,
What If,Colbie Caillat,29/7/2011,
Skyscraper,Demi Lovato,29/7/2011,
Long Hot Summer,Keith Urban,29/7/2011,
Booty Wurk (One Cheek At A Time),T-Pain Featuring Joey Galaxy,29/7/2011,
Outlaw,50 Cent,5/8/2011,
Marvin & Chardonnay,Big Sean Featuring Kanye West & Roscoe Dash,5/8/2011,
Oh My,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",5/8/2011,
Marvins Room,Drake,5/8/2011,
Otis,Jay Z Kanye West Featuring Otis Redding,5/8/2011,
Quickie,Miguel,5/8/2011,
The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,5/8/2011,
Rumour Has It,Adele,12/8/2011,
Fish,Craig Campbell,12/8/2011,
One More Drinkin' Song,Jerrod Niemann,12/8/2011,
Gucci Gucci,Kreayshawn,12/8/2011,
Faster,Matt Nathanson,12/8/2011,
Easy,Rascal Flatts Featuring Natasha Bedingfield,12/8/2011,
Cheers (Drink To That),Rihanna,12/8/2011,
Don't Stop The Party,The Black Eyed Peas,12/8/2011,
In The Dark,Dev,19/8/2011,
Lights,Ellie Goulding,19/8/2011,
Under And Over It,Five Finger Death Punch,19/8/2011,
Ships In The Night,Mat Kearney,19/8/2011,
Till I'm Gone,Tinie Tempah Featuring Wiz Khalifa,19/8/2011,
Far Away,Tyga Featuring Chris Richardson,19/8/2011,
Titanium,David Guetta Featuring Sia,26/8/2011,0
Headlines,Drake,26/8/2011,
What You Want,Evanescence,26/8/2011,
It Girl,Jason Derulo,26/8/2011,
Who Gon Stop Me,Jay Z Kanye West,26/8/2011,
Ni**as in Paris,Jay Z Kanye West,26/8/2011,
Drunk On You,Luke Bryan,26/8/2011,
Mrs. Right,Mindless Behavior Featuring Diggy,26/8/2011,
Baggage Claim,Miranda Lambert,26/8/2011,
We Don't Get Down Like Y'all,T.I. Featuring B.o.B.,26/8/2011,
Nothing,The Script,26/8/2011,
Sail,AWOLNATION,2/9/2011,
Brighter Than The Sun,Colbie Caillat,2/9/2011,
We Owned The Night,Lady Antebellum,2/9/2011,
She Will,Lil Wayne Featuring Drake,2/9/2011,
Frick Park Market             ,Mac Miller,2/9/2011,
Don't Hold Your Breath,Nicole Scherzinger,2/9/2011,
I Got You,Thompson Square,2/9/2011,
Night Of Your Life,David Guetta Featuring Jennifer Hudson,9/9/2011,
What The Water Gave Me,Florence + The Machine,9/9/2011,
Martians Vs Goblins,"Game Featuring Lil Wayne & Tyler, The Creator",9/9/2011,
I'm Gonna Love You Through It,Martina McBride,9/9/2011,
Hell On Heels,Pistol Annies,9/9/2011,
Cost Of Livin',Ronnie Dunn,9/9/2011,
Love Don't Run,Steve Holy,9/9/2011,
That Way,Wale Featuring Jeremih & Rick Ross,9/9/2011,
Love On Top,Beyonce,16/9/2011,
Beautiful People,Chris Brown Featuring Benny Benassi,16/9/2011,
Turn Me On,David Guetta Featuring Nicki Minaj,16/9/2011,
Without You,David Guetta Featuring Usher,16/9/2011,
Good Feeling,Flo Rida,16/9/2011,
Dancin' Away With My Heart,Lady Antebellum,16/9/2011,
Blunt Blowin,Lil Wayne,16/9/2011,
MegaMan,Lil Wayne,16/9/2011,
Nightmares Of The Bottom,Lil Wayne,16/9/2011,
President Carter,Lil Wayne,16/9/2011,
Mirror,Lil Wayne Featuring Bruno Mars,16/9/2011,
It's Good,Lil Wayne Featuring Drake & Jadakiss,16/9/2011,
So Special,Lil Wayne Featuring John Legend,16/9/2011,
How To Hate,Lil Wayne Featuring T-Pain,16/9/2011,
Sexy And I Know It,LMFAO,16/9/2011,
My Body,Young The Giant,16/9/2011,
Wet The Bed,Chris Brown Feat. Ludacris,23/9/2011,
Police Dog Blues,Hugh Laurie,23/9/2011,
Disaster,JoJo,23/9/2011,
Mr. Know It All,Kelly Clarkson,23/9/2011,
Wanted You More,Lady Antebellum,23/9/2011,
The Trouble With Girls,Scotty McCreery,23/9/2011,
All Your Life,The Band Perry,23/9/2011,
Body 2 Body,Ace Hood Featuring Chris Brown,30/9/2011,
You Don't Know Her Like I Do,Brantley Gilbert,30/9/2011,
Paradise,Coldplay,30/9/2011,0
I Got Nothin',Darius Rucker,30/9/2011,
Let It Rain,David Nail Featuring Sarah Buxton,30/9/2011,
Got 2 Luv U,Sean Paul Featuring Alexis Jordan,30/9/2011,
Body And Soul,Tony Bennett & Amy Winehouse,30/9/2011,
Y.U. Mad,Birdman Featuring Nicki Minaj & Lil Wayne,7/10/2011,
Fix A Heart,Demi Lovato,7/10/2011,
Unbroken,Demi Lovato,7/10/2011,
Drink In My Hand,Eric Church,7/10/2011,
Tattoos On This Town,Jason Aldean,7/10/2011,
We Found Love,Rihanna Featuring Calvin Harris,7/10/2011,
Strange Clouds,B.o.B Featuring Lil Wayne,14/10/2011,
After Midnight,Blink-182,14/10/2011,
It Will Rain,Bruno Mars,14/10/2011,
Calling All The Monsters,China Anne McClain,14/10/2011,
Fight For You,Jason Derulo,14/10/2011,
Dedication To My Ex (Miss That),Lloyd Featuring Andre 3000 & Lil Wayne,14/10/2011,
I Don't Want This Night To End,Luke Bryan,14/10/2011,
When We Stand Together,Nickelback,14/10/2011,
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,14/10/2011,
Keep Me In Mind,Zac Brown Band,14/10/2011,
Party,Beyonce Featuring Andre 3000,21/10/2011,
Dance (A$$),Big Sean Featuring Nicki Minaj,21/10/2011,
Crawling Back To You,Daughtry,21/10/2011,
I Like How It Feels,Enrique Iglesias Featuring Pitbull & The WAV.s,21/10/2011,
I Like It Like That,Hot Chelle Rae Featuring New Boyz,21/10/2011,
I'm Flexin',T.I. Featuring Big K.R.I.T.,21/10/2011,
Hangover,Taio Cruz Featuring Flo Rida,21/10/2011,
Countdown,Beyonce,28/10/2011,
Criminal,Britney Spears,28/10/2011,
Make Me Proud,Drake Featuring Nicki Minaj,28/10/2011,
Lost In Paradise,Evanescence,28/10/2011,
Domino,Jessie J,28/10/2011,
The One That Got Away,Katy Perry,28/10/2011,1
Good Good Night,Roscoe Dash,28/10/2011,
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,28/10/2011,
Heartbeat,The Fray,28/10/2011,
Still Got It,Tyga Featuring Drake,28/10/2011,
You,Chris Young,4/11/2011,
A Thousand Years,Christina Perri,4/11/2011,1
Mistletoe,Justin Bieber,4/11/2011,
You The Boss,Rick Ross Featuring Nicki Minaj,4/11/2011,
Promise,Romeo Santos Featuring Usher,4/11/2011,
Focused,Wale Featuring Kid Cudi,4/11/2011,
Sweat,Bow Wow Featuring Lil Wayne,11/11/2011,
Princess Of China,Coldplay Featuring Rihanna,11/11/2011,0
Shake It Out,Florence + The Machine,11/11/2011,
Storm Warning,Hunter Hayes,11/11/2011,
Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber Featuring Usher,11/11/2011,
Bait A Hook,Justin Moore,11/11/2011,
Lessons In Love,Kaskade Featuring Neon Trees,11/11/2011,
Stronger (What Doesn't Kill You),Kelly Clarkson,11/11/2011,0
Lonely Boy,The Black Keys,11/11/2011,
Red Solo Cup,Toby Keith,11/11/2011,
Lotus Flower Bomb,Wale Featuring Miguel,11/11/2011,
Blackout,Breathe Carolina,18/11/2011,
Drummer Boy,Justin Bieber Featuring Busta Rhymes,18/11/2011,
Reality,Kenny Chesney,18/11/2011,
Party On Fifth Ave.,Mac Miller,18/11/2011,
Over You,Miranda Lambert,18/11/2011,
First Of The Year (Equinox),Skrillex,18/11/2011,
Ambition,Wale Featuring Meek Mill & Rick Ross,18/11/2011,
Footloose,Blake Shelton,25/11/2011,
Home,Dierks Bentley,25/11/2011,
Come Home,Faith Hill,25/11/2011,
Smile Back,Mac Miller,25/11/2011,
Run,Matt Nathanson Featuring Sugarland,25/11/2011,
You Da One,Rihanna,25/11/2011,
If This Was A Movie,Taylor Swift,25/11/2011,1
Ours,Taylor Swift,25/11/2011,1
Superman,Taylor Swift,25/11/2011,
Levels,Avicii,2/12/2011,
Hate Sleeping Alone,Drake,2/12/2011,
Shot For Me,Drake,2/12/2011,
We'll Be Fine,Drake Featuring Birdman,2/12/2011,
The Motto,Drake Featuring Lil Wayne,2/12/2011,
HYFR (Hell Ya F*****g Right),Drake Featuring Lil Wayne,2/12/2011,
Take Care,Drake Featuring Rihanna,2/12/2011,
Strip,Chris Brown Featuring Kevin K-MAC McCall,9/12/2011,
El Verdadero Amor Perdona,Mana Featuring Prince Royce,9/12/2011,
Lullaby,Nickelback,9/12/2011,
Tonight Is The Night,Outasight,9/12/2011,
Where Have You Been,Rihanna,9/12/2011,
Talk That Talk,Rihanna Featuring Jay-Z,9/12/2011,
Rack City,Tyga,9/12/2011,
T.H.E (The Hardest Ever),will.i.am Featuring Mick Jagger & Jennifer Lopez,9/12/2011,
Camouflage,Brad Paisley,16/12/2011,
Tongue Tied,Grouplove,16/12/2011,
Can't Get Enough,J. Cole Featuring Trey Songz,16/12/2011,
It's Beginning To Look A Lot Like Christmas,Michael Buble,16/12/2011,
Roman In Moscow,Nicki Minaj,16/12/2011,
Amen,Edens Edge,23/12/2011,
We Are Young,fun. Featuring Janelle Monae,23/12/2011,
Alone With You,Jake Owen,23/12/2011,
You Gonna Fly,Keith Urban,23/12/2011,
I'll Be Home For Christmas,Kelly Clarkson,23/12/2011,
Bang Bang Pow Pow,T-Pain Featuring Lil Wayne,23/12/2011,
Round Of Applause,Waka Flocka Flame Featuring Drake,23/12/2011,
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,30/12/2011,
A Woman Like You,Lee Brice,30/12/2011,
Better Than I Used To Be,Tim McGraw,30/12/2011,
Better Than I Know Myself,Adam Lambert,6/1/2012,
Wild Ones,Flo Rida Featuring Sia,6/1/2012,
Knock Knock,Mac Miller,6/1/2012,
Stupid Hoe,Nicki Minaj,6/1/2012,
Scary Monsters And Nice Sprites,Skrillex,6/1/2012,
Safe & Sound,Taylor Swift Featuring The Civil Wars,6/1/2012,1
Wobble,V.I.C.,6/1/2012,
I Do,Young Jeezy Featuring Jay-Z & Andre 3000,6/1/2012,
Play The Guitar,B.o.B Featuring Andre 3000,13/1/2012,
The Champ,Nelly,13/1/2012,
Set You Free,3OH!3,20/1/2012,
Somebody That I Used To Know,Gotye Featuring Kimbra,20/1/2012,1
I Won't Give Up,Jason Mraz,20/1/2012,1
Gotta Have It,Jay Z Kanye West,20/1/2012,
Where I Come From,Montgomery Gentry,20/1/2012,
Kyoto,Skrillex Featuring Sirah,20/1/2012,
Don't Stop (Color On The Walls),Foster The People,27/1/2012,
Video Games,Lana Del Rey,27/1/2012,1
Wild Boy,MGK Featuring Waka Flocka Flame,27/1/2012,
Called Out In The Dark,Snow Patrol,27/1/2012,
Glad You Came,The Wanted,27/1/2012,1
Drive By,Train,27/1/2012,1
Tattoo,Van Halen,27/1/2012,
Love's Gonna Make It Alright,George Strait,3/2/2012,
No Church In The Wild,Jay Z Kanye West Featuring Frank Ocean,3/2/2012,
Mr. Wrong,Mary J. Blige Featuring Drake,3/2/2012,
Faded,Tyga Featuring Lil Wayne,3/2/2012,
Drink On It,Blake Shelton,10/2/2012,
Do It Like You,Diggy Featuring Jeremih,10/2/2012,
Sorry For Party Rocking,LMFAO,10/2/2012,
Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.,17/2/2012,
4:00 am,Melanie Fiona,17/2/2012,
Feel So Close,Calvin Harris,24/2/2012,
Somethin' 'Bout A Truck,Kip Moore,24/2/2012,
Drank In My Cup,Kirko Bangz,24/2/2012,
Say Aah,Lindsey Pavao,24/2/2012,
Ima Boss,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",24/2/2012,
I Will Always Love You,Whitney Houston,24/2/2012,
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,24/2/2012,
Greatest Love Of All,Whitney Houston,24/2/2012,
Snitches Ain't...,"YG Featuring Tyga, Snoop Dogg & Nipsey Hussle",24/2/2012,
Runaway Baby,Bruno Mars,2/3/2012,
Turn Up The Music,Chris Brown,2/3/2012,
I Can Only Imagine,David Guetta Featuring Chris Brown & Lil Wayne,2/3/2012,
Raise Your Weapon,deadmau5 Featuring Greta Svabo Bech,2/3/2012,
Part Of Me,Katy Perry,2/3/2012,
Starships,Nicki Minaj,2/3/2012,0
What Makes You Beautiful,One Direction,2/3/2012,1
Banjo,Rascal Flatts,2/3/2012,
Bangarang,Skrillex Featuring Sirah,2/3/2012,
How Will I Know,Whitney Houston,2/3/2012,
So Good,B.o.B,9/3/2012,
Call Me Maybe,Carly Rae Jepsen,9/3/2012,
Good Girl,Carrie Underwood,9/3/2012,
Some Nights,fun.,9/3/2012,
Fly Over States,Jason Aldean,9/3/2012,
Birthday Cake,Rihanna Featuring Chris Brown,9/3/2012,
Make It Nasty,Tyga,9/3/2012,
Mutha***** Up,Tyga Featuring Nicki Minaj,9/3/2012,
Climax,Usher,9/3/2012,
Cough Syrup,Young The Giant,9/3/2012,
Springsteen,Eric Church,16/3/2012,
Thank You,Estelle,16/3/2012,
Live My Life,Far*East Movement Featuring Justin Bieber,16/3/2012,
Magic,Future Featuring T.I.,16/3/2012,
UP!,LoveRance Featuring IamSu & Skipper or 50 Cent,16/3/2012,
Roman Reloaded,Nicki Minaj Featuring Lil Wayne,16/3/2012,
Ayy Ladies,Travis Porter Featuring Tyga,16/3/2012,
Shadow Days,John Mayer,23/3/2012,0
Brokenhearted,Karmin,23/3/2012,
Midnight City,M83.,23/3/2012,
Sex Ain't Better Than Love,Trey Songz,23/3/2012,
No Hurry,Zac Brown Band,23/3/2012,
TTYLXOX,Bella Thorne,30/3/2012,
Even If It Breaks Your Heart,Eli Young Band,30/3/2012,
Everybody Talks,Neon Trees,30/3/2012,1
One Thing,One Direction,30/3/2012,1
Changed,Rascal Flatts,30/3/2012,
Leave You Alone,Young Jeezy Featuring Ne-Yo,30/3/2012,
Too Close,Alex Clare,6/4/2012,
This Ole Boy,Craig Morgan,6/4/2012,
Crew Love,Drake Featuring The Weeknd,6/4/2012,
We Run The Night,Havana Brown Featuring Pitbull,6/4/2012,
Come Away To The Water,Maroon 5 Featuring Rozzi Crane,6/4/2012,
Bully,Shinedown,6/4/2012,
Eyes Open,Taylor Swift,6/4/2012,
Got My Country On,Chris Cagle,13/4/2012,
Naked,Dev & Enrique Iglesias,13/4/2012,
