song,artist,date
Down On Me,Jeremih Featuring 50 Cent,2010-11-26
Hello World,Lady Antebellum,2010-11-26
What If,Jason Derulo,2010-11-26
Cannibal,Ke$ha,2010-11-26
Scott Mescudi Vs. The World,Kid Cudi Featuring Cee-Lo,2010-11-26
Make A Movie,Twista Featuring Chris Brown,2010-11-26
Forget You,Glee Cast Featuring Gwyneth Paltrow,2010-12-03
Singing In The Rain / Umbrella,Glee Cast Featuring Gwyneth Paltrow,2010-12-03
Kush,Dr. Dre Featuring Snoop Dogg & Akon,2010-12-03
S&M,Rihanna Featuring Britney Spears,2010-12-03
Liv Tonight,Nelly Featuring Keri Hilson,2010-12-03
Hold My Hand,Michael Jackson Duet With Akon,2010-12-03
Marry Me,Train,2010-12-03
Blow,Ke$ha,2010-12-03
Turn Around (5 4 3 2 1),Flo Rida,2010-12-03
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2010-12-10
Marry You,Glee Cast,2010-12-10
Just The Way You Are,Glee Cast,2010-12-10
Dark Fantasy,"Kanye West Featuring Teyana Taylor, Nicki Minaj & Bon Iver",2010-12-10
Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2010-12-10
Show Me How You Burlesque,Christina Aguilera,2010-12-10
Pretty Girl Rock,Keri Hilson,2010-12-10
Who's That Chick?,David Guetta Featuring Rihanna,2010-12-10
Fly,Nicki Minaj Featuring Rihanna,2010-12-10
Marry You,Bruno Mars,2010-12-10
All Of The Lights,Kanye West,2010-12-10
Crazy Beautiful Life,Ke$ha,2010-12-10
Let Me Down Easy,Billy Currington,2010-12-10
Maybe,Sick Puppies,2010-12-10
Dog Days Are Over,Glee Cast,2010-12-17
Christmas Lights,Coldplay,2010-12-17
"Hey, Soul Sister",Glee Cast,2010-12-17
(I've Had) The Time Of My Life,Glee Cast,2010-12-17
Valerie,Glee Cast,2010-12-17
Who Dat Girl,Flo Rida Featuring Akon,2010-12-17
Freak The Freak Out,Victorious Cast Featuring Victoria Justice,2010-12-17
Boots,The Killers,2010-12-17
Fire Flame,Birdman Featuring Lil Wayne,2010-12-17
Rocketeer,Far*East Movement Featuring Ryan Tedder,2010-12-17
Don't Cry For Me Argentina (Lea Michele Version),Glee Cast,2010-12-17
That's All She Wrote,T.I. Featuring Eminem,2010-12-24
"Baby, It's Cold Outside",Glee Cast,2010-12-24
Welcome Christmas,Glee Cast,2010-12-24
Rolling In The Deep,Adele,2010-12-24
No BS,Chris Brown,2010-12-24
Bass Down Low,Dev Featuring The Cataracs,2010-12-24
Fall For Your Type,Jamie Foxx Featuring Drake,2010-12-24
6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,2010-12-31
Higher,Taio Cruz Featuring Travie McCoy,2010-12-31
Moment 4 Life,Nicki Minaj Featuring Drake,2010-12-31
F**kin' Perfect,P!nk,2010-12-31
What Do You Want,Jerrod Niemann,2010-12-31
Are You Gonna Kiss Me Or Not,Thompson Square,2010-12-31
When A Woman Loves,R. Kelly,2010-12-31
You Be Killin Em,Fabolous,2010-12-31
For The First Time,The Script,2010-12-31
Oh Santa!,Mariah Carey,2010-12-31
I Just Had Sex,The Lonely Island Featuring Akon,2011-01-07
This Is Country Music,Brad Paisley,2011-01-07
Hit It Again,3OH!3,2011-01-07
Do The John Wall,Troop 41,2011-01-07
I Am The Champion,B.o.B,2011-01-07
Pursuit Of Happiness (Nightmare),Kid Cudi Featuring MGMT & Ratatat,2011-01-07
Shake Up Christmas,Train,2011-01-07
Big Night,Big Time Rush,2011-01-14
A Little Bit Stronger,Sara Evans,2011-01-14
Country Strong,Gwyneth Paltrow,2011-01-21
From A Table Away,Sunny Sweeney,2011-01-21
Make It Rain,Travis Porter,2011-01-21
Hold It Against Me,Britney Spears,2011-01-28
What The Hell,Avril Lavigne,2011-01-28
H*A*M,Kanye West Jay Z,2011-01-28
Shake Me Down,Cage The Elephant,2011-01-28
Give In To Me,Garrett Hedlund & Leighton Meester,2011-01-28
Buzzin',Mann,2011-01-28
Wildflower,The JaneDear Girls,2011-01-28
Colder Weather,Zac Brown Band,2011-02-04
Stay The Night,James Blunt,2011-02-04
"For You, And Your Denial      ",Yellowcard,2011-02-04
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011-02-11
Help Is On The Way,Rise Against,2011-02-11
Boyfriend,New Hollow,2011-02-11
Love Faces,Trey Songz,2011-02-11
I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,2011-02-18
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,2011-02-18
Need You Now,Glee Cast,2011-02-18
Thriller / Heads Will Roll,Glee Cast,2011-02-18
"Bills, Bills, Bills",Glee Cast,2011-02-18
When You're Young,3 Doors Down,2011-02-18
The Creep,The Lonely Island Featuring Nicki Minaj,2011-02-18
Price Tag,Jessie J Featuring B.o.B,2011-02-18
The Ballad Of Mona Lisa,Panic! At The Disco,2011-02-18
The Cave,Mumford & Sons,2011-02-18
Born This Way,Lady Gaga,2011-02-25
Hit The Lights,Jay Sean Featuring Lil Wayne,2011-02-25
I Do,Colbie Caillat,2011-02-25
Firework,Glee Cast,2011-02-25
Silly Love Songs,Glee Cast,2011-02-25
When I Get You Alone,Glee Cast,2011-02-25
Roll Up,Wiz Khalifa,2011-02-25
Fat Bottomed Girls,Glee Cast,2011-02-25
P.Y.T. (Pretty Young Thing),Glee Cast,2011-02-25
I Won't Give Up,Jana Kramer,2011-02-25
She's Not There,Glee Cast,2011-02-25
Words I Never Said,Lupe Fiasco Featuring Skylar Grey,2011-02-25
Pray,Justin Bieber,2011-02-25
Sing,My Chemical Romance,2011-02-25
Heart Like Mine,Miranda Lambert,2011-02-25
Bleed Red,Ronnie Dunn,2011-02-25
Backseat,New Boyz Featuring The Cataracs & Dev,2011-03-04
Baby,Glee Cast,2011-03-04
Sing,Glee Cast,2011-03-04
Take Me Or Leave Me,Glee Cast,2011-03-04
Somebody To Love,Glee Cast,2011-03-04
Born To Be Somebody,Justin Bieber,2011-03-04
Tomorrow,Chris Young,2011-03-04
Written In The Stars,Tinie Tempah Featuring Eric Turner,2011-03-04
Just Can't Get Enough,The Black Eyed Peas,2011-03-04
On The Floor,Jennifer Lopez Featuring Pitbull,2011-03-11
Don't You Want Me,Glee Cast,2011-03-11
On My Level,Wiz Khalifa Featuring Too $hort,2011-03-11
Blame It (On The Alcohol),Glee Cast,2011-03-11
Tik Tok,Glee Cast,2011-03-11
Someone Like You,Adele,2011-03-11
Boyfriend,Big Time Rush,2011-03-11
Bow Chicka Wow Wow,Mike Posner Featuring Lil Wayne,2011-03-11
Set Fire To The Rain,Adele,2011-03-11
Welcome To My Hood,"DJ Khaled Featuring Rick Ross, Plies, Lil Wayne & T-Pain",2011-03-11
I Smile,Kirk Franklin,2011-03-11
The Shape I'm In,Joe Nichols,2011-03-11
Country Boy,Aaron Lewis Featuring George Jones & Charlie Daniels,2011-03-11
Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,2011-03-18
Rope,Foo Fighters,2011-03-18
Twisted,Gorilla Zoe Featuring Lil Jon,2011-03-18
You Lie,The Band Perry,2011-03-18
What Are Words,Chris Medina,2011-03-18
My Last,Big Sean Featuring Chris Brown,2011-03-18
Did It On'em,Nicki Minaj,2011-03-18
Walking,Mary Mary,2011-03-18
21st Century Girl,WILLOW,2011-03-18
Landslide,Glee Cast Featuring Gwyneth Paltrow,2011-03-25
Do You Wanna Touch Me (Oh Yeah),Glee Cast Featuring Gwyneth Paltrow,2011-03-25
Crazy Girl,Eli Young Band,2011-03-25
Animal,Glee Cast,2011-03-25
The Race,Wiz Khalifa,2011-03-25
Beautiful Lasers (2 Ways),Lupe Fiasco Featuring MDMA,2011-03-25
Country Song,Seether,2011-03-25
Boom,Snoop Dogg Featuring T-Pain,2011-03-25
Kiss,Glee Cast,2011-03-25
Homeboy,Eric Church,2011-03-25
Live A Little,Kenny Chesney,2011-03-25
Sure Thing,Miguel,2011-03-25
Without You,Keith Urban,2011-03-25
Where You At,Jennifer Hudson,2011-03-25
I Can't Love You Back,Easton Corbin,2011-03-25
Wish You Were Here,Avril Lavigne,2011-03-25
Loser Like Me,Glee Cast,2011-04-01
Get It Right,Glee Cast,2011-04-01
Who Says,Selena Gomez & The Scene,2011-04-01
Raise Your Glass,Glee Cast,2011-04-01
Blackbird,Glee Cast,2011-04-01
Misery,Glee Cast,2011-04-01
Hell To The No,Glee Cast,2011-04-01
Candles,Glee Cast,2011-04-01
Friday,Rebecca Black,2011-04-01
Bring It Back,Travis Porter,2011-04-01
Far Away,Marsha Ambrosius,2011-04-01
Grove St. Party,Waka Flocka Flame Featuring Kebo Gotti,2011-04-01
Arms,Christina Perri,2011-04-01
Dancing Crazy,Miranda Cosgrove,2011-04-01
No Sleep,Wiz Khalifa,2011-04-08
Next To You,Chris Brown Featuring Justin Bieber,2011-04-08
Best Love Song,T-Pain Featuring Chris Brown,2011-04-08
John,Lil Wayne Featuring Rick Ross,2011-04-08
If Heaven Wasn't So Far Away,Justin Moore,2011-04-08
Family Man,Craig Campbell,2011-04-08
Georgia Clay,Josh Kelley,2011-04-08
F**k Him He's A DJ,Ke$ha,2011-04-08
When I'm Gone,Wiz Khalifa,2011-04-15
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011-04-15
The Story,Sara Ramirez,2011-04-15
I Wanna Go,Britney Spears,2011-04-15
Beggin' On Your Knees,Victorious Cast Featuring Victoria Justice,2011-04-15
Racks,YC Featuring Future,2011-04-15
Honey Bee,Blake Shelton,2011-04-22
Dirt Road Anthem,Jason Aldean,2011-04-22
Hustle Hard,Ace Hood,2011-04-22
Hello,Martin Solveig & Dragonette,2011-04-22
Old Alabama,Brad Paisley Featuring Alabama,2011-04-22
Good Life,OneRepublic,2011-04-22
Somewhere Else,Toby Keith,2011-04-22
Judas,Lady Gaga,2011-04-29
Motivation,Kelly Rowland Featuring Lil Wayne,2011-04-29
Red Nation,Game Featuring Lil Wayne,2011-04-29
She Ain't You,Chris Brown,2011-04-29
Tonight Tonight,Hot Chelle Rae,2011-04-29
Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko",2011-04-29
Barefoot Blue Jean Night,Jake Owen,2011-04-29
Country Girl (Shake It For Me),Luke Bryan,2011-05-06
Run The World (Girls),Beyonce,2011-05-06
Turning Tables,Adele,2011-05-06
Turning Tables,Glee Cast Featuring Gwyneth Paltrow,2011-05-06
All By Myself,Glee Cast,2011-05-06
Breakthrough,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko",2011-05-06
Somebody,Bridgit Mendler,2011-05-06
Papi,Jennifer Lopez,2011-05-06
I Feel Pretty / Unpretty,Glee Cast,2011-05-13
Somewhere Only We Know,Glee Cast,2011-05-13
Born This Way,Glee Cast,2011-05-13
Time After Time,Javier Colon,2011-05-13
As If We Never Said Goodbye,Glee Cast,2011-05-13
Barbra Streisand,Duck Sauce,2011-05-13
Pumped Up Kicks,Foster The People,2011-05-13
Super Bass,Nicki Minaj,2011-05-13
Whiskey,Jana Kramer,2011-05-13
Never Gonna Leave This Bed,Maroon 5,2011-05-13
Just A Kiss,Lady Antebellum,2011-05-20
Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,2011-05-20
Fast Lane,Bad Meets Evil,2011-05-20
Go Your Own Way,Glee Cast,2011-05-20
Better With The Lights Off,New Boyz Feat. Chris Brown,2011-05-20
Songbird,Glee Cast,2011-05-20
Not Ready To Die,Avenged Sevenfold,2011-05-20
I'm Into You,Jennifer Lopez Featuring Lil Wayne,2011-05-20
Don't Stop,Glee Cast,2011-05-20
Never Going Back Again,Glee Cast,2011-05-20
Danza Kuduro,Don Omar & Lucenzo,2011-05-20
Am I The Only One,Dierks Bentley,2011-05-20
Dreams,Glee Cast Featuring Kristin Chenoweth,2011-05-20
Closer To The Edge,Thirty Seconds To Mars,2011-05-20
The Edge Of Glory,Lady Gaga,2011-05-27
Dirty Dancer,Enrique Iglesias With Usher Featuring Lil Wayne,2011-05-27
Rolling In The Deep,Glee Cast Featuring Jonathan Groff,2011-05-27
Friday,Glee Cast,2011-05-27
(It) Feels So Good,Steven Tyler,2011-05-27
Jar Of Hearts,Glee Cast,2011-05-27
9 Piece,Rick Ross Featuring Lil Wayne Or T.I.,2011-05-27
Isn't She Lovely,Glee Cast,2011-05-27
Jack Sparrow,The Lonely Island Featuring Michael Bolton,2011-05-27
I'm Not Gonna Teach Your Boyfriend To Dance With You,Glee Cast,2011-05-27
Knee Deep,Zac Brown Band Featuring Jimmy Buffett,2011-05-27
Dancing Queen,Glee Cast,2011-05-27
I Am Woman,Jordin Sparks,2011-05-27
Hair,Lady Gaga,2011-06-03
Ballin',Young Jeezy Featuring Lil Wayne,2011-06-03
Pure Imagination,Glee Cast,2011-06-03
Right There,Nicole Scherzinger Featuring 50 Cent,2011-06-03
I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2011-06-03
California King Bed,Rihanna,2011-06-03
Back To Black,Glee Cast,2011-06-03
Don't Wanna Go Home,Jason Derulo,2011-06-03
My Man,Glee Cast,2011-06-03
Look It Up,Ashton Shepherd,2011-06-03
I Love You This Big,Scotty McCreery,2011-06-10
Like My Mother Does,Lauren Alaina,2011-06-10
Light Up The World,Glee Cast,2011-06-10
You And I,Lady Gaga,2011-06-10
Pretending,Glee Cast,2011-06-10
1+1,Beyonce,2011-06-10
For Good,Glee Cast,2011-06-10
How To Love,Lil Wayne,2011-06-10
Rise Above 1,Reeve Carney Featuring Bono & The Edge,2011-06-10
Marry The Night,Lady Gaga,2011-06-10
Donald Trump,Mac Miller,2011-06-10
"I Love New York / New York, New York",Glee Cast,2011-06-10
You And Tequila,Kenny Chesney Featuring Grace Potter,2011-06-10
As Long As You're There,Glee Cast,2011-06-10
Man Down,Rihanna,2011-06-10
Out Of My Head,Lupe Fiasco Featuring Trey Songz,2011-06-10
Every Teardrop Is A Waterfall,Coldplay,2011-06-17
International Love,Pitbull Featuring Chris Brown,2011-06-17
Best Thing I Never Had,Beyonce,2011-06-17
Iridescent,Linkin Park,2011-06-17
Unusual,Trey Songz Featuring Drake,2011-06-17
Take A Back Road,Rodney Atkins,2011-06-17
Best Friend's Brother,Victorious Cast Featuring Victoria Justice,2011-06-17
Keep Your Head Up,Andy Grammer,2011-06-17
Cat Daddy,Rej3ctz,2011-06-17
Just Fishin',Trace Adkins,2011-06-17
Monster,Paramore,2011-06-24
Remind Me,Brad Paisley Duet With Carrie Underwood,2011-06-24
Pause,Pitbull,2011-06-24
Heartless,Dia Frampton,2011-06-24
Bang Bang Bang,Selena Gomez & The Scene,2011-06-24
Made In America,Toby Keith,2011-06-24
Not Over You,Gavin DeGraw,2011-06-24
You,Romeo Santos,2011-06-24
Teenage Daughters,Martina McBride,2011-06-24
Lighters,Bad Meets Evil Featuring Bruno Mars,2011-07-01
Angel,Javier Colon,2011-07-01
Today Is Your Day,Shania Twain,2011-07-01
Rain Over Me,Pitbull Featuring Marc Anthony,2011-07-01
Jolene,Vicci Martinez,2011-07-01
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2011-07-01
Black Horse And The Cherry Tree,Casey Weston,2011-07-01
See No More,Joe Jonas,2011-07-01
Take Over Control,Afrojack Featuring Eva Simons,2011-07-01
Love Done Gone,Billy Currington,2011-07-01
Price Tag,Xenia,2011-07-01
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2011-07-08
Fix You,Javier Colon,2011-07-08
Losing My Religion,Dia Frampton,2011-07-08
Dog Days Are Over,Vicci Martinez,2011-07-08
Shake Senora,Pitbull Featuring T-Pain & Sean Paul,2011-07-08
Love You Like A Love Song,Selena Gomez & The Scene,2011-07-08
The Man Who Can't Be Moved,Xenia,2011-07-08
Watch Me,Bella Thorne & Zendaya,2011-07-08
So In Love,Jill Scott Featuring Anthony Hamilton,2011-07-08
"Save Me, San Francisco",Train,2011-07-08
Country Must Be Country Wide,Brantley Gilbert,2011-07-08
Stitch By Stitch,Javier Colon,2011-07-15
Inventing Shadows,Dia Frampton,2011-07-15
Man In The Mirror,Adam Levine & Javier Colon,2011-07-15
I Won't Back Down,Blake Shelton & Dia Frampton,2011-07-15
Here For A Good Time,George Strait,2011-07-15
Little Bad Girl,David Guetta Featuring Taio Cruz & Ludacris,2011-07-15
Beautiful,Christina Aguilera & Beverly McClellan,2011-07-15
Afraid To Sleep,Vicci Martinez,2011-07-15
Moving To Mars,Coldplay,2011-07-15
Major Minus,Coldplay,2011-07-15
Pretty Girls,Iyaz Featuring Travie McCoy,2011-07-15
High,Big Sean Featuring Wiz Khalifa,2011-07-15
Novacane,Frank Ocean,2011-07-22
Work Out,J. Cole,2011-07-22
I Wouldn't Be A Man,Josh Turner,2011-07-22
Smile,Avril Lavigne,2011-07-22
Taboo,Don Omar,2011-07-22
Walk,Foo Fighters,2011-07-22
Skyscraper,Demi Lovato,2011-07-29
Booty Wurk (One Cheek At A Time),T-Pain Featuring Joey Galaxy,2011-07-29
God Gave Me You,Blake Shelton,2011-07-29
You Make Me Feel...,Cobra Starship Featuring Sabi,2011-07-29
What If,Colbie Caillat,2011-07-29
Up All Night,Blink-182,2011-07-29
Long Hot Summer,Keith Urban,2011-07-29
Mr. Saxobeat,Alexandra Stan,2011-07-29
The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,2011-08-05
Otis,Jay Z Kanye West Featuring Otis Redding,2011-08-05
Marvins Room,Drake,2011-08-05
Outlaw,50 Cent,2011-08-05
Marvin & Chardonnay,Big Sean Featuring Kanye West & Roscoe Dash,2011-08-05
Quickie,Miguel,2011-08-05
Oh My,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",2011-08-05
Gucci Gucci,Kreayshawn,2011-08-12
Easy,Rascal Flatts Featuring Natasha Bedingfield,2011-08-12
Cheers (Drink To That),Rihanna,2011-08-12
Don't Stop The Party,The Black Eyed Peas,2011-08-12
Rumour Has It,Adele,2011-08-12
Fish,Craig Campbell,2011-08-12
Faster,Matt Nathanson,2011-08-12
One More Drinkin' Song,Jerrod Niemann,2011-08-12
Under And Over It,Five Finger Death Punch,2011-08-19
Lights,Ellie Goulding,2011-08-19
Ships In The Night,Mat Kearney,2011-08-19
In The Dark,Dev,2011-08-19
Till I'm Gone,Tinie Tempah Featuring Wiz Khalifa,2011-08-19
Far Away,Tyga Featuring Chris Richardson,2011-08-19
Headlines,Drake,2011-08-26
It Girl,Jason Derulo,2011-08-26
Who Gon Stop Me,Jay Z Kanye West,2011-08-26
Titanium,David Guetta Featuring Sia,2011-08-26
Baggage Claim,Miranda Lambert,2011-08-26
What You Want,Evanescence,2011-08-26
Ni**as in Paris,Jay Z Kanye West,2011-08-26
We Don't Get Down Like Y'all,T.I. Featuring B.o.B.,2011-08-26
Drunk On You,Luke Bryan,2011-08-26
Nothing,The Script,2011-08-26
Mrs. Right,Mindless Behavior Featuring Diggy,2011-08-26
She Will,Lil Wayne Featuring Drake,2011-09-02
We Owned The Night,Lady Antebellum,2011-09-02
Frick Park Market             ,Mac Miller,2011-09-02
Don't Hold Your Breath,Nicole Scherzinger,2011-09-02
Sail,AWOLNATION,2011-09-02
Brighter Than The Sun,Colbie Caillat,2011-09-02
I Got You,Thompson Square,2011-09-02
Hell On Heels,Pistol Annies,2011-09-09
I'm Gonna Love You Through It,Martina McBride,2011-09-09
Night Of Your Life,David Guetta Featuring Jennifer Hudson,2011-09-09
Love Don't Run,Steve Holy,2011-09-09
What The Water Gave Me,Florence + The Machine,2011-09-09
Cost Of Livin',Ronnie Dunn,2011-09-09
That Way,Wale Featuring Jeremih & Rick Ross,2011-09-09
Martians Vs Goblins,"Game Featuring Lil Wayne & Tyler, The Creator",2011-09-09
Mirror,Lil Wayne Featuring Bruno Mars,2011-09-16
Love On Top,Beyonce,2011-09-16
Blunt Blowin,Lil Wayne,2011-09-16
Turn Me On,David Guetta Featuring Nicki Minaj,2011-09-16
Without You,David Guetta Featuring Usher,2011-09-16
Beautiful People,Chris Brown Featuring Benny Benassi,2011-09-16
Dancin' Away With My Heart,Lady Antebellum,2011-09-16
MegaMan,Lil Wayne,2011-09-16
My Body,Young The Giant,2011-09-16
Sexy And I Know It,LMFAO,2011-09-16
It's Good,Lil Wayne Featuring Drake & Jadakiss,2011-09-16
Good Feeling,Flo Rida,2011-09-16
How To Hate,Lil Wayne Featuring T-Pain,2011-09-16
Nightmares Of The Bottom,Lil Wayne,2011-09-16
President Carter,Lil Wayne,2011-09-16
So Special,Lil Wayne Featuring John Legend,2011-09-16
Mr. Know It All,Kelly Clarkson,2011-09-23
Wanted You More,Lady Antebellum,2011-09-23
Police Dog Blues,Hugh Laurie,2011-09-23
The Trouble With Girls,Scotty McCreery,2011-09-23
Disaster,JoJo,2011-09-23
All Your Life,The Band Perry,2011-09-23
Wet The Bed,Chris Brown Feat. Ludacris,2011-09-23
Paradise,Coldplay,2011-09-30
I Got Nothin',Darius Rucker,2011-09-30
Body And Soul,Tony Bennett & Amy Winehouse,2011-09-30
Let It Rain,David Nail Featuring Sarah Buxton,2011-09-30
Body 2 Body,Ace Hood Featuring Chris Brown,2011-09-30
Got 2 Luv U,Sean Paul Featuring Alexis Jordan,2011-09-30
You Don't Know Her Like I Do,Brantley Gilbert,2011-09-30
We Found Love,Rihanna Featuring Calvin Harris,2011-10-07
It's Not Unusual,Glee Cast,2011-10-07
You Can't Stop The Beat,Glee Cast,2011-10-07
Y.U. Mad,Birdman Featuring Nicki Minaj & Lil Wayne,2011-10-07
Fix A Heart,Demi Lovato,2011-10-07
Tattoos On This Town,Jason Aldean,2011-10-07
We Got The Beat,Glee Cast,2011-10-07
Drink In My Hand,Eric Church,2011-10-07
Unbroken,Demi Lovato,2011-10-07
Strange Clouds,B.o.B Featuring Lil Wayne,2011-10-14
It Will Rain,Bruno Mars,2011-10-14
When We Stand Together,Nickelback,2011-10-14
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,2011-10-14
Somewhere,Glee Cast,2011-10-14
Dedication To My Ex (Miss That),Lloyd Featuring Andre 3000 & Lil Wayne,2011-10-14
Fight For You,Jason Derulo,2011-10-14
After Midnight,Blink-182,2011-10-14
I Don't Want This Night To End,Luke Bryan,2011-10-14
Keep Me In Mind,Zac Brown Band,2011-10-14
Calling All The Monsters,China Anne McClain,2011-10-14
Crawling Back To You,Daughtry,2011-10-21
I Like It Like That,Hot Chelle Rae Featuring New Boyz,2011-10-21
Fix You,Glee Cast,2011-10-21
Hangover,Taio Cruz Featuring Flo Rida,2011-10-21
I'm Flexin',T.I. Featuring Big K.R.I.T.,2011-10-21
I Like How It Feels,Enrique Iglesias Featuring Pitbull & The WAV.s,2011-10-21
Run The World (Girls),Glee Cast,2011-10-21
Dance (A$$),Big Sean Featuring Nicki Minaj,2011-10-21
Party,Beyonce Featuring Andre 3000,2011-10-21
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2011-10-28
Heartbeat,The Fray,2011-10-28
Countdown,Beyonce,2011-10-28
Still Got It,Tyga Featuring Drake,2011-10-28
Good Good Night,Roscoe Dash,2011-10-28
Criminal,Britney Spears,2011-10-28
The One That Got Away,Katy Perry,2011-10-28
Domino,Jessie J,2011-10-28
Make Me Proud,Drake Featuring Nicki Minaj,2011-10-28
Lost In Paradise,Evanescence,2011-10-28
Mistletoe,Justin Bieber,2011-11-04
A Thousand Years,Christina Perri,2011-11-04
You The Boss,Rick Ross Featuring Nicki Minaj,2011-11-04
You,Chris Young,2011-11-04
Promise,Romeo Santos Featuring Usher,2011-11-04
Focused,Wale Featuring Kid Cudi,2011-11-04
Princess Of China,Coldplay Featuring Rihanna,2011-11-11
Red Solo Cup,Toby Keith,2011-11-11
Sweat,Bow Wow Featuring Lil Wayne,2011-11-11
Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber Featuring Usher,2011-11-11
Stronger (What Doesn't Kill You),Kelly Clarkson,2011-11-11
Shake It Out,Florence + The Machine,2011-11-11
Lotus Flower Bomb,Wale Featuring Miguel,2011-11-11
Lonely Boy,The Black Keys,2011-11-11
Lessons In Love,Kaskade Featuring Neon Trees,2011-11-11
Storm Warning,Hunter Hayes,2011-11-11
Bait A Hook,Justin Moore,2011-11-11
Party On Fifth Ave.,Mac Miller,2011-11-18
