song,artist,date,loveSong
Livin' On A Prayer,Bon Jovi,29/11/2013,
American Girl,Bonnie McKee,6/9/2013,
Sweat,Bow Wow Featuring Lil Wayne,11/11/2011,
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,1/1/2010,1
American Saturday Night,Brad Paisley,1/1/2010,0
Water,Brad Paisley,30/4/2010,0
Anything Like Me,Brad Paisley,17/9/2010,0
This Is Country Music,Brad Paisley,7/1/2011,
Camouflage,Brad Paisley,16/12/2011,
Southern Comfort Zone,Brad Paisley,19/10/2012,
Beat This Summer,Brad Paisley,22/3/2013,
River Bank,Brad Paisley,23/5/2014,
Perfect Storm,Brad Paisley,24/10/2014,
Crushin' It,Brad Paisley,15/5/2015,
Country Nation,Brad Paisley,12/2/2016,
Today,Brad Paisley,28/10/2016,
Remind Me,Brad Paisley Duet With Carrie Underwood,24/6/2011,
Old Alabama,Brad Paisley Featuring Alabama,22/4/2011,
Accidental Racist,Brad Paisley Featuring LL Cool J,26/4/2013,
Maybe It's Time,Bradley Cooper,19/10/2018,
Put It Down,Brandy Featuring Chris Brown,31/8/2012,
Country Must Be Country Wide,Brantley Gilbert,8/7/2011,
You Don't Know Her Like I Do,Brantley Gilbert,30/9/2011,
More Than Miles,Brantley Gilbert,15/3/2013,
Bottoms Up,Brantley Gilbert,3/1/2014,
My Baby's Guns N' Roses,Brantley Gilbert,16/5/2014,
17 Again,Brantley Gilbert,23/5/2014,
One Hell Of An Amen,Brantley Gilbert,15/5/2015,
The Weekend,Brantley Gilbert,20/1/2017,
Hard Days,Brantley Gilbert,19/6/2020,
What Happens In A Small Town,Brantley Gilbert + Lindsay Ell,16/8/2019,
Small Town Throwdown,Brantley Gilbert Featuring Justin Moore & Thomas Rhett,27/6/2014,
I Will Not Bow,Breaking Benjamin,1/1/2010,0
Give Me A Sign (Forever And Ever),Breaking Benjamin,23/4/2010,1
Failure,Breaking Benjamin,10/4/2015,
Blackout,Breathe Carolina,18/11/2011,
My Truck,Breland,3/7/2020,
Rockin' Around The Christmas Tree,Brenda Lee,3/1/2014,
Don't Ya,Brett Eldredge,7/6/2013,
Beat Of The Music,Brett Eldredge,21/2/2014,
Mean To Me,Brett Eldredge,21/11/2014,
Lose My Mind,Brett Eldredge,26/6/2015,
Drunk On Your Love,Brett Eldredge,29/1/2016,
Wanna Be That Song,Brett Eldredge,21/10/2016,
The Long Way,Brett Eldredge,16/2/2018,
Love Someone,Brett Eldredge,3/5/2019,
Sleep Without You,Brett Young,30/9/2016,
In Case You Didn't Know,Brett Young,24/2/2017,
Like I Loved You,Brett Young,13/10/2017,
Mercy,Brett Young,18/5/2018,
Here Tonight,Brett Young,11/1/2019,
Catch,Brett Young,7/2/2020,
Somebody,Bridgit Mendler,6/5/2011,
Ready Or Not,Bridgit Mendler,2/11/2012,
Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko",29/4/2011,
Breakthrough,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko",6/5/2011,
3,Britney Spears,1/1/2010,0
Hold It Against Me,Britney Spears,28/1/2011,
I Wanna Go,Britney Spears,15/4/2011,
Criminal,Britney Spears,28/10/2011,
Ooh La La,Britney Spears,5/7/2013,
Work B**ch!,Britney Spears,4/10/2013,
Perfume,Britney Spears,22/11/2013,
Pretty Girls,Britney Spears & Iggy Azalea,22/5/2015,
Make Me...,Britney Spears Featuring G-Eazy,5/8/2016,
Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,18/3/2011,
Slumber Party,Britney Spears Featuring Tinashe,9/12/2016,
Gold,Britt Nicole,15/3/2013,
What The World Needs Now Is Love,Broadway For Orlando,8/7/2016,
SUGAR,BrockHampton,17/1/2020,
Stay A Little Longer,Brothers Osborne,23/10/2015,
It Ain't My Fault,Brothers Osborne,30/6/2017,
Throat Baby (Go Baby),BRS Kash,30/10/2020,
Just The Way You Are,Bruno Mars,6/8/2010,1
Grenade,Bruno Mars,15/10/2010,1
The Lazy Song,Bruno Mars,22/10/2010,0
Marry You,Bruno Mars,10/12/2010,1
It Will Rain,Bruno Mars,14/10/2011,
Runaway Baby,Bruno Mars,2/3/2012,
Locked Out Of Heaven,Bruno Mars,19/10/2012,
When I Was Your Man,Bruno Mars,21/12/2012,1
Treasure,Bruno Mars,31/5/2013,1
Gorilla,Bruno Mars,13/9/2013,1
Young Girls,Bruno Mars,17/1/2014,
24K Magic,Bruno Mars,28/10/2016,
That's What I Like,Bruno Mars,9/12/2016,
Versace On The Floor,Bruno Mars,9/12/2016,
Finesse,Bruno Mars & Cardi B,12/1/2018,
Drew Barrymore,Bryce Vine,24/8/2018,
La La Land,Bryce Vine Featuring YG,14/6/2019,
Don't,Bryson Tiller,16/10/2015,
Exchange,Bryson Tiller,13/11/2015,
Sorry Not Sorry,Bryson Tiller,1/1/2016,
Somethin Tells Me,Bryson Tiller,16/6/2017,
Self-Made,Bryson Tiller,16/6/2017,
Don't Get Too High,Bryson Tiller,16/6/2017,
Run Me Dry,Bryson Tiller,16/6/2017,
No Longer Friends,Bryson Tiller,16/6/2017,
Always Forever,Bryson Tiller,16/10/2020,
Years Go By,Bryson Tiller,16/10/2020,
Outta Time,Bryson Tiller Featuring Drake,16/10/2020,
Achy Breaky 2,Buck 22 Featuring Billy Ray Cyrus,28/2/2014,
A Holly Jolly Christmas,Burl Ives,6/1/2017,
Calm Down,Busta Rhymes Featuring Eminem,18/7/2014,
Cashin' Out,Ca$h Out,27/4/2012,
She Twerkin,Ca$h Out,11/7/2014,
Shake Me Down,Cage The Elephant,28/1/2011,
Envy Me,Calboy,28/12/2018,
Teach Me How To Dougie,Cali Swag District,11/6/2010,0
Dancing On My Own,Calum Scott,10/2/2017,
Feel So Close,Calvin Harris,24/2/2012,
Summer,Calvin Harris,4/4/2014,
My Way,Calvin Harris,7/10/2016,
How Deep Is Your Love,Calvin Harris & Disciples,7/8/2015,
One Kiss,Calvin Harris & Dua Lipa,20/4/2018,
Promises,Calvin Harris & Sam Smith,31/8/2018,
Thinking About You,Calvin Harris Featuring Ayah Marar,31/1/2014,
I Need Your Love,Calvin Harris Featuring Ellie Goulding,3/5/2013,
Outside,Calvin Harris Featuring Ellie Goulding,7/11/2014,
Sweet Nothing,Calvin Harris Featuring Florence Welch,2/11/2012,
Slide,Calvin Harris Featuring Frank Ocean & Migos,17/3/2017,
Rollin,Calvin Harris Featuring Future & Khalid,2/6/2017,
Blame,Calvin Harris Featuring John Newman,26/9/2014,
Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,8/12/2017,
Let's Go,Calvin Harris Featuring Ne-Yo,11/5/2012,
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",7/7/2017,
This Is What You Came For,Calvin Harris Featuring Rihanna,20/5/2016,
Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",21/4/2017,
Over Now,Calvin Harris X The Weeknd,11/9/2020,
Burning House,Cam,31/7/2015,
Crying In The Club,Camila Cabello,9/6/2017,
Never Be The Same,Camila Cabello,29/12/2017,
Consequences,Camila Cabello,16/11/2018,
Liar,Camila Cabello,20/9/2019,
Shameless,Camila Cabello,20/9/2019,
First Man,Camila Cabello,7/2/2020,
My Oh My,Camila Cabello Featuring DaBaby,20/12/2019,
OMG,Camila Cabello Featuring Quavo,25/8/2017,
Havana,Camila Cabello Featuring Young Thug,25/8/2017,
Love You Like That,Canaan Smith,10/4/2015,
I Am Beautiful,Candice Glover,31/5/2013,
Safe And Sound,Capital Cities,17/5/2013,
Bodak Yellow (Money Moves),Cardi B,21/7/2017,
Be Careful,Cardi B,13/4/2018,
Get Up 10,Cardi B,20/4/2018,
Bickenhead,Cardi B,20/4/2018,
Thru Your Phone,Cardi B,20/4/2018,
Money Bag,Cardi B,20/4/2018,
Money,Cardi B,2/11/2018,
Press,Cardi B,14/6/2019,
Please Me,Cardi B & Bruno Mars,1/3/2019,
She Bad,Cardi B & YG,20/4/2018,
Bartier Cardi,Cardi B Featuring 21 Savage,5/1/2018,
Best Life,Cardi B Featuring Chance The Rapper,20/4/2018,
Ring,Cardi B Featuring Kehlani,20/4/2018,
WAP,Cardi B Featuring Megan Thee Stallion,21/8/2020,
Drip,Cardi B Featuring Migos,20/4/2018,
I Do,Cardi B Featuring SZA,20/4/2018,
I Like It,"Cardi B, Bad Bunny & J Balvin",20/4/2018,
La Bicicleta,Carlos Vives & Shakira,29/7/2016,
Every Little Thing,Carly Pearce,18/8/2017,
I Hope You're Happy Now,Carly Pearce & Lee Brice,17/1/2020,
Call Me Maybe,Carly Rae Jepsen,9/3/2012,
This Kiss,Carly Rae Jepsen,28/9/2012,
I Really Like You,Carly Rae Jepsen,20/3/2015,
Beautiful,Carly Rae Jepsen Featuring Justin Bieber,5/10/2012,
Tonight I'm Getting Over You,Carly Rae Jepsen Featuring Nicki Minaj,24/5/2013,
Cowboy Casanova,Carrie Underwood,1/1/2010,0
Temporary Home,Carrie Underwood,15/1/2010,0
Undo It,Carrie Underwood,21/5/2010,1
Mama's Song,Carrie Underwood,15/10/2010,0
Good Girl,Carrie Underwood,9/3/2012,
Blown Away,Carrie Underwood,18/5/2012,
Two Black Cadillacs,Carrie Underwood,28/12/2012,
See You Again,Carrie Underwood,17/5/2013,
Something In The Water,Carrie Underwood,17/10/2014,
Little Toy Guns,Carrie Underwood,27/3/2015,
Smoke Break,Carrie Underwood,11/9/2015,
Heartbeat,Carrie Underwood,22/1/2016,
Church Bells,Carrie Underwood,27/5/2016,
Dirty Laundry,Carrie Underwood,4/11/2016,
Cry Pretty,Carrie Underwood,27/4/2018,
Love Wins,Carrie Underwood,11/1/2019,
Southbound,Carrie Underwood,26/7/2019,
Drinking Alone,Carrie Underwood,8/5/2020,
The Champion,Carrie Underwood Featuring Ludacris,26/1/2018,
Evacuate The Dancefloor,Cascada,1/1/2010,0
Crying On A Suitcase,Casey James,4/1/2013,
Black Horse And The Cherry Tree,Casey Weston,1/7/2011,
Take Me Home,Cash Cash Featuring Bebe Rexha,31/1/2014,
Adore,Cashmere Cat Featuring Ariana Grande,20/3/2015,
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",4/5/2018,
Over You,Cassadee Pope,7/12/2012,
Are You Happy Now?,Cassadee Pope,14/12/2012,
Stupid Boy,Cassadee Pope,28/12/2012,
Cry,Cassadee Pope,4/1/2013,
Wasting All These Tears,Cassadee Pope,21/6/2013,
F**k You! (Forget You),CeeLo Green,10/9/2010,0
I Might Need Security,Chance The Rapper,3/8/2018,
Do You Remember,Chance The Rapper Featuring Death Cab For Cutie,9/8/2019,
All Day Long,Chance The Rapper Featuring John Legend,9/8/2019,
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,3/6/2016,
Hot Shower,Chance The Rapper Featuring MadeinTYO & DaBaby,9/8/2019,
Blessings,Chance The Rapper Featuring Ty Dolla $ign,3/6/2016,
Pyramid,Charice Featuring Iyaz,28/5/2010,1
Boom Clap,Charli XCX,20/6/2014,
Break The Rules,Charli XCX,26/12/2014,
One Call Away,Charlie Puth,18/12/2015,
Attention,Charlie Puth,12/5/2017,1
How Long,Charlie Puth,27/10/2017,
The Way I Am,Charlie Puth,7/9/2018,
Done For Me,Charlie Puth Featuring Kehlani,18/5/2018,
Marvin Gaye,Charlie Puth Featuring Meghan Trainor,3/7/2015,
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,19/2/2016,
Could It Be,Charlie Worsham,27/9/2013,
Take It On Back,Chase Bryant,16/1/2015,
Little Bit Of You,Chase Bryant,26/2/2016,
Ready Set Roll,Chase Rice,25/10/2013,
Gonna Wanna Tonight,Chase Rice,28/8/2015,
Whisper,Chase Rice,26/2/2016,
Eyes On You,Chase Rice,1/3/2019,
Lonely If You Are,Chase Rice,28/8/2020,
No Promises,Cheat Codes Featuring Demi Lovato,2/6/2017,
Flicka Da Wrist,Chedda Da Connect,15/5/2015,
Want U Back,Cher Lloyd,29/6/2012,
Oath,Cher Lloyd Featuring Becky G,14/12/2012,
Opposite Of Adults,Chiddy Bang,30/7/2010,0
Love Sosa,Chief Keef,28/12/2012,
I Don't Like,Chief Keef Featuring Lil Reese,7/9/2012,
I. Crawl,Childish Gambino,20/12/2013,
V. 3005,Childish Gambino,27/12/2013,
Me And Your Mama,Childish Gambino,2/12/2016,
Redbone,Childish Gambino,9/12/2016,
This Is America,Childish Gambino,18/5/2018,
Summertime Magic,Childish Gambino,27/7/2018,
Feels Like Summer,Childish Gambino,14/9/2018,
Calling All The Monsters,China Anne McClain,14/10/2011,
What's My Name,"China Anne McClain, Thomas Doherty & Dylan Playfair",11/8/2017,
Total Eclipse Of The Heart,Chloe Kohanski,15/12/2017,
Do It,Chloe X Halle,26/6/2020,
Money On You,Chris Blue,9/6/2017,
Crawl,Chris Brown,1/1/2010,1
Yeah 3X,Chris Brown,12/11/2010,0
No BS,Chris Brown,24/12/2010,
She Ain't You,Chris Brown,29/4/2011,
Turn Up The Music,Chris Brown,2/3/2012,
Sweet Love,Chris Brown,4/5/2012,
Don't Wake Me Up,Chris Brown,8/6/2012,
Don't Judge Me,Chris Brown,16/11/2012,
Fine China,Chris Brown,19/4/2013,
X,Chris Brown,3/10/2014,
Liquor,Chris Brown,11/9/2015,
Back To Sleep,Chris Brown,1/1/2016,
Zero,Chris Brown,8/1/2016,
Little More (Royalty),Chris Brown,8/1/2016,
Grass Ain't Greener,Chris Brown,16/9/2016,
Privacy,Chris Brown,19/5/2017,
Questions,Chris Brown,8/9/2017,
Tempo,Chris Brown,16/3/2018,
Undecided,Chris Brown,18/1/2019,
Ayo,Chris Brown & Tyga,23/1/2015,
Go Crazy,Chris Brown & Young Thug,22/5/2020,
Wet The Bed,Chris Brown Feat. Ludacris,23/9/2011,
Don't Think They Know,Chris Brown Featuring Aaliyah,12/7/2013,
Beautiful People,Chris Brown Featuring Benny Benassi,16/9/2011,
No Guidance,Chris Brown Featuring Drake,21/6/2019,
High End,Chris Brown Featuring Future & Young Thug,3/11/2017,
Heat,Chris Brown Featuring Gunna,13/9/2019,
Next To You,Chris Brown Featuring Justin Bieber,8/4/2011,
Don't Check On Me,Chris Brown Featuring Justin Bieber & Ink,12/7/2019,
Strip,Chris Brown Featuring Kevin K-MAC McCall,9/12/2011,
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,18/2/2011,
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,31/1/2014,
I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,1/1/2010,1
Love More,Chris Brown Featuring Nicki Minaj,9/8/2013,
Deuces,Chris Brown Featuring Tyga & Kevin McCall,16/7/2010,0
Party,Chris Brown Featuring Usher & Gucci Mane,6/1/2017,
New Flame,Chris Brown Featuring Usher & Rick Ross,18/7/2014,
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",29/9/2017,
Got My Country On,Chris Cagle,13/4/2012,
Let There Be Cowgirls,Chris Cagle,8/2/2013,
When I Was Your Man,Chris Jamison,26/12/2014,
Velvet,Chris Jamison,2/1/2015,
Lost Without U,Chris Jamison & Adam Levine,2/1/2015,
Buy Me A Boat,Chris Janson,12/6/2015,
Fix A Drink,Chris Janson,1/9/2017,
Drunk Girl,Chris Janson,7/9/2018,
Good Vibes,Chris Janson,13/9/2019,
Done,Chris Janson,26/6/2020,
Fix,Chris Lane,17/6/2016,
For Her,Chris Lane,18/8/2017,
I Don't Know About You,Chris Lane,19/7/2019,
"Big, Big Plans",Chris Lane,9/10/2020,
Take Back Home Girl,Chris Lane Featuring Tori Kelly,13/4/2018,
What Are Words,Chris Medina,18/3/2011,
Tennessee Whiskey,Chris Stapleton,20/11/2015,
Traveller,Chris Stapleton,27/11/2015,
Nobody To Blame,Chris Stapleton,22/1/2016,
Parachute,Chris Stapleton,9/12/2016,
Broken Halos,Chris Stapleton,5/5/2017,
Either Way,Chris Stapleton,26/5/2017,
Millionaire,Chris Stapleton,23/11/2018,
Starting Over,Chris Stapleton,11/9/2020,
Gettin' You Home,Chris Young,1/1/2010,0
The Man I Want To Be,Chris Young,19/3/2010,1
Voices,Chris Young,19/11/2010,0
Tomorrow,Chris Young,4/3/2011,
You,Chris Young,4/11/2011,
Neon,Chris Young,10/8/2012,
I Can Take It From There,Chris Young,22/2/2013,
Aw Naw,Chris Young,2/8/2013,
Who I Am With You,Chris Young,9/5/2014,
Lonely Eyes,Chris Young,2/1/2015,
I'm Comin' Over,Chris Young,29/5/2015,
Losing Sleep,Chris Young,13/10/2017,
Hangin' On,Chris Young,14/9/2018,
Raised On Country,Chris Young,14/6/2019,
Think Of You,Chris Young Duet With Cassadee Pope,4/3/2016,
Sober Saturday Night,Chris Young Featuring Vince Gill,20/1/2017,
Not Myself Tonight,Christina Aguilera,30/4/2010,0
Bionic,Christina Aguilera,25/6/2010,0
Show Me How You Burlesque,Christina Aguilera,10/12/2010,
Your Body,Christina Aguilera,5/10/2012,
Beautiful,Christina Aguilera & Beverly McClellan,15/7/2011,
The Prayer,Christina Aguilera & Chris Mann,25/5/2012,
Woohoo,Christina Aguilera Featuring Nicki Minaj,4/6/2010,0
Just A Fool,Christina Aguilera With Blake Shelton,30/11/2012,
"Hold On, We're Going Home",Christina Grimmie,16/5/2014,
How To Love,Christina Grimmie,23/5/2014,
Can't Help Falling In Love,Christina Grimmie,6/6/2014,
Somebody That I Used To Know,Christina Grimmie & Adam Levine,6/6/2014,
Jar Of Hearts,Christina Perri,16/7/2010,0
Arms,Christina Perri,1/4/2011,
A Thousand Years,Christina Perri,4/11/2011,1
Human,Christina Perri,21/2/2014,0
A Thousand Years (Part 2),Christina Perri Featuring Steve Kazee,30/11/2012,1
Run Rudolph Run,Chuck Berry,4/1/2019,
Body Party,Ciara,10/5/2013,
I Bet,Ciara,13/2/2015,
Dance Like We're Making Love,Ciara,7/8/2015,
Level Up,Ciara,3/8/2018,
Ride,Ciara Featuring Ludacris,7/5/2010,0
I'm Out,Ciara Featuring Nicki Minaj,19/7/2013,
Act Up,City Girls,15/3/2019,
Twerk,City Girls Featuring Cardi B,30/11/2018,
Whoopty,CJ,20/11/2020,
LIFTED,CL,21/10/2016,
Sofia,Clairo,23/10/2020,
She Won't Be Lonely Long,Clay Walker,16/4/2010,0
Solo,Clean Bandit Featuring Demi Lovato,6/7/2018,
Rather Be,Clean Bandit Featuring Jess Glynne,27/6/2014,1
I Miss You,Clean Bandit Featuring Julia Michaels,19/1/2018,
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,23/12/2016,
Hot Mess,Cobra Starship,8/1/2010,0
You Make Me Feel...,Cobra Starship Featuring Sabi,29/7/2011,
On My Way To You,Cody Johnson,1/2/2019,
Fallin' For You,Colbie Caillat,1/1/2010,1
I Never Told You,Colbie Caillat,9/4/2010,1
I Do,Colbie Caillat,25/2/2011,
What If,Colbie Caillat,29/7/2011,
Brighter Than The Sun,Colbie Caillat,2/9/2011,
Try,Colbie Caillat,25/7/2014,
Christmas Lights,Coldplay,17/12/2010,
Every Teardrop Is A Waterfall,Coldplay,17/6/2011,1
Moving To Mars,Coldplay,15/7/2011,
Major Minus,Coldplay,15/7/2011,0
Paradise,Coldplay,30/9/2011,0
Atlas,Coldplay,20/9/2013,
Magic,Coldplay,21/3/2014,1
Midnight,Coldplay,2/5/2014,
A Sky Full Of Stars,Coldplay,16/5/2014,1
Adventure Of A Lifetime,Coldplay,27/11/2015,0
Hymn For The Weekend,Coldplay,19/2/2016,
Princess Of China,Coldplay Featuring Rihanna,11/11/2011,0
Chillin' It,Cole Swindell,1/11/2013,
Hope You Get Lonely Tonight,Cole Swindell,27/6/2014,
Ain't Worth The Whiskey,Cole Swindell,16/1/2015,
Let Me See Ya Girl,Cole Swindell,21/8/2015,
You Should Be Here,Cole Swindell,1/1/2016,
Middle Of A Memory,Cole Swindell,12/8/2016,
Flatliner,Cole Swindell,28/4/2017,
Break Up In The End,Cole Swindell,9/3/2018,
Love You Too Late,Cole Swindell,16/8/2019,
Glory,Common & John Legend,30/1/2015,
Heather,Conan Gray,28/8/2020,
Family Man,Craig Campbell,8/4/2011,
Fish,Craig Campbell,12/8/2011,
Outta My Head,Craig Campbell,27/9/2013,
Keep Them Kisses Comin',Craig Campbell,16/5/2014,
Bonfire,Craig Morgan,1/1/2010,0
This Ain't Nothin',Craig Morgan,2/7/2010,0
This Ole Boy,Craig Morgan,6/4/2012,
Wake Up Lovin' You,Craig Morgan,9/5/2014,
I Walk The Line,Craig Wayne Boyd,12/12/2014,
The Old Rugged Cross,Craig Wayne Boyd,26/12/2014,
My Baby's Got A Smile On Her Face,Craig Wayne Boyd,2/1/2015,
Rain,Creed,8/1/2010,0
Up To The Mountain,Crystal Bowersox,11/6/2010,1
Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne,12/2/2016,
Broccoli,D.R.A.M. Featuring Lil Yachty,1/7/2016,
Suge,DaBaby,12/4/2019,
INTRO,DaBaby,4/10/2019,
BOP,DaBaby,11/10/2019,
VIBEZ,DaBaby,11/10/2019,
OFF THE RIP,DaBaby,11/10/2019,
XXL,DaBaby,11/10/2019,
PROLLY HEARD,DaBaby,11/10/2019,
There He Go,DaBaby,11/10/2019,
Find My Way,DaBaby,17/4/2020,
CAN'T STOP,DaBaby,1/5/2020,
BLAME IT ON BABY,DaBaby,1/5/2020,
SAD SHIT,DaBaby,1/5/2020,
TALK ABOUT IT,DaBaby,1/5/2020,
CHAMPION,DaBaby,1/5/2020,
Practice,DaBaby,6/11/2020,
iPHONE,DaBaby & Nicki Minaj,11/10/2019,
DROP,DaBaby Featuring A Boogie Wit da Hoodie & London On Da Track,1/5/2020,
NASTY,DaBaby Featuring Ashanti & Megan Thee Stallion,1/5/2020,
GOSPEL,"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",11/10/2019,
LIGHTSKIN SH*T,DaBaby Featuring Future & jetsonmade,1/5/2020,
POP STAR,DaBaby Featuring Kevin Gates,11/10/2019,
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,11/10/2019,
RAW SHIT,DaBaby Featuring Migos,11/10/2019,
Baby Sitter,DaBaby Featuring Offset,23/8/2019,
PICK UP,DaBaby Featuring Quavo,1/5/2020,
Rockstar,DaBaby Featuring Roddy Ricch,1/5/2020,
REALLY,DaBaby Featuring Stunna 4 Vegas,11/10/2019,
Blind,DaBaby Featuring Young Thug,2/10/2020,
Jump,DaBaby Featuring YoungBoy Never Broke Again,1/5/2020,
No Dribble,DaBaby x Stunna 4 Vegas,14/8/2020,
Shaky Shaky,Daddy Yankee,13/1/2017,
Dura,Daddy Yankee,16/2/2018,
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,8/2/2019,
"Wat U Mean (Aye, Aye, Aye)",Dae Dae,5/8/2016,
Get Lucky,Daft Punk Featuring Pharrell Williams,3/5/2013,
Soldier,Damien,2/1/2015,
19 You + Me,Dan + Shay,17/1/2014,
Nothin' Like You,Dan + Shay,28/8/2015,
From The Ground Up,Dan + Shay,10/6/2016,
How Not To,Dan + Shay,21/4/2017,
Tequila,Dan + Shay,26/1/2018,
Speechless,Dan + Shay,21/9/2018,
All To Myself,Dan + Shay,17/5/2019,
I Should Probably Go To Bed,Dan + Shay,14/8/2020,
"10,000 Hours",Dan + Shay & Justin Bieber,18/10/2019,
Best Part,Daniel Caesar Featuring H.E.R.,3/8/2018,
Get You,Daniel Caesar Featuring Kali Uchis,2/3/2018,
Maybe It Was Memphis,Danielle Bradbery,24/5/2013,
"Heads Carolina, Tails California",Danielle Bradbery,7/6/2013,
Grandpa (Tell Me 'Bout The Good Old Days),Danielle Bradbery,14/6/2013,
Who I Am,Danielle Bradbery,28/6/2013,
Please Remember Me,Danielle Bradbery,28/6/2013,
Born To Fly,Danielle Bradbery,5/7/2013,
The Heart Of Dixie,Danielle Bradbery,2/8/2013,
Easy,DaniLeigh Featuring Chris Brown,15/11/2019,
My Best Days Are Ahead Of Me,Danny Gokey,19/3/2010,0
History In The Making,Darius Rucker,1/1/2010,1
Come Back Song,Darius Rucker,30/7/2010,1
This,Darius Rucker,29/10/2010,0
I Got Nothin',Darius Rucker,30/9/2011,
Wagon Wheel,Darius Rucker,1/2/2013,
Radio,Darius Rucker,1/11/2013,
Homegrown Honey,Darius Rucker,21/11/2014,
If I Told You,Darius Rucker,28/4/2017,
For The First Time,Darius Rucker,6/4/2018,
Beers And Sunshine,Darius Rucker,20/11/2020,
Christmas (Baby Please Come Home),Darlene Love,28/12/2018,
Life After You,Daughtry,1/1/2010,1
September,Daughtry,20/8/2010,1
Crawling Back To You,Daughtry,21/10/2011,
Waiting For Superman,Daughtry,4/10/2013,
You And Me,Dave Matthews Band,19/2/2010,1
Mercy,Dave Matthews Band,3/8/2012,
Lazarus,David Bowie,29/1/2016,
Space Oddity,David Bowie,29/1/2016,
Blackstar,David Bowie,29/1/2016,
Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO,14/5/2010,1
Sexy Chick,David Guetta Featuring Akon,1/1/2010,0
I Can Only Imagine,David Guetta Featuring Chris Brown & Lil Wayne,2/3/2012,
Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,20/5/2011,
Night Of Your Life,David Guetta Featuring Jennifer Hudson,9/9/2011,
2U,David Guetta Featuring Justin Bieber,30/6/2017,
Memories,David Guetta Featuring Kid Cudi,22/10/2010,0
Play Hard,David Guetta Featuring Ne-Yo & Akon,7/6/2013,
Turn Me On,David Guetta Featuring Nicki Minaj,16/9/2011,
Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",10/4/2015,
Who's That Chick?,David Guetta Featuring Rihanna,10/12/2010,
Dangerous,David Guetta Featuring Sam Martin,7/11/2014,
Titanium,David Guetta Featuring Sia,26/8/2011,0
Bang My Head,David Guetta Featuring Sia & Fetty Wap,29/1/2016,
Little Bad Girl,David Guetta Featuring Taio Cruz & Ludacris,15/7/2011,
Without You,David Guetta Featuring Usher,16/9/2011,
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,4/5/2018,
Red Light,David Nail,1/1/2010,1
Whatever She's Got,David Nail,18/10/2013,
Night's On Fire,David Nail,8/7/2016,
Let It Rain,David Nail Featuring Sarah Buxton,30/9/2011,
Dessert,Dawin,25/12/2015,
Hide Away,Daya,2/10/2015,
"Sit Still, Look Pretty",Daya,17/6/2016,
Raise Your Weapon,deadmau5 Featuring Greta Svabo Bech,2/3/2012,
Be Alright,Dean Lewis,9/11/2018,
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,14/12/2018,
